GEOID,avg_hourly_wage
0100100,29.588686819710574
0100200,31.168838688564072
0100300,29.592461541679434
0100401,33.614053529934615
0100402,34.491354675243045
0100403,33.921916327897286
0100501,29.626229385530486
0100600,25.37954473872764
0100700,24.560807699968876
0100800,22.709796689659356
0100900,26.90686115849617
0101000,29.82905065786604
0101100,25.625145367485096
0101201,29.74594760354082
0101202,23.771377593401805
0101301,31.32512570147718
0101401,29.126064166240344
0101402,30.549673244606407
0101403,63.54263651417008
0101404,42.88011875936901
0101501,39.91611160040854
0101502,32.68085484107798
0101600,27.275038588545403
0101700,26.46535514264807
0101801,24.74515244098297
0101802,32.171268956702946
0101901,31.29741177724527
0102000,42.94366093452455
0102101,28.773037487590297
0102201,28.74203130536901
0102300,27.338651048072826
0102400,30.590208768528672
0102500,28.29366828617296
0102600,25.409354362505457
0102701,35.53699296289657
0102702,28.97684107891119
0102801,29.260910181425043
0102802,31.526023969759894
0102803,26.224699659988403
0200101,43.93725142462937
0200102,46.03821291641897
0200200,33.26906638917812
0200300,31.26363974584334
0200400,42.798683228004
0400101,38.413377075925695
0400102,35.442015792210086
0400103,32.29811893238257
0400104,31.176777559586174
0400105,38.90311842027994
0400106,34.172481654305535
0400107,66.78934838764641
0400108,37.56133014640614
0400109,34.6119472602431
0400110,71.98842531611949
0400111,54.673081416144136
0400112,73.60252717897635
0400113,57.813642220981706
0400114,34.311785489758584
0400115,41.84846818151516
0400116,37.83685576972946
0400117,47.05287316097434
0400118,45.60805753211965
0400119,27.33327362653471
0400120,44.19706060940209
0400121,36.85088262844046
0400122,21.010952770005584
0400123,23.156762772868753
0400124,30.92744726982535
0400125,22.857536886508598
0400126,36.56205289510448
0400127,29.290269092766042
0400128,41.370743400678386
0400129,41.01323023847671
0400130,60.463318691788686
0400131,42.907941542405666
0400132,37.87871333772897
0400133,35.953387333211246
0400134,34.43255822462002
0400135,47.578795438899114
0400400,30.489666708590413
0400500,39.009848114940006
0400601,27.56116981228935
0400602,74.91060605310214
0400701,31.380024756947222
0400803,35.44227531789016
0400805,31.06777144321898
0400807,37.693602028178454
0400900,29.760984033714674
0401000,28.023549397645464
0401101,31.5214813599222
0401901,24.70876028494127
0401902,31.33428380933179
0401903,57.18246433051271
0401904,51.3428021206489
0401905,32.70630790949353
0401906,37.738606865632434
0401907,26.03866833121494
0401908,25.214766355088326
0401909,30.85032764719854
0402502,38.70939022272686
0402503,34.30002136673027
0500101,36.843993424092545
0500102,36.92270923334832
0500201,26.382707988860613
0500202,29.165357136082037
0500300,26.85058479699587
0500400,25.220321393616807
0500500,24.480064095845727
0500600,22.464634277102462
0500700,28.88151455937798
0500800,26.634573363571537
0500900,27.489520915051262
0501000,26.735415677119875
0501100,36.2988272989921
0501200,26.398450572323004
0501300,31.541070880279403
0501400,27.207879447758927
0501501,31.172995252241996
0501502,35.75161718927367
0501600,34.774626650809445
0501700,26.55556845852234
0600101,75.0299893140576
0600111,55.55661105357
0600112,74.72112811379051
0600113,34.7427908559892
0600114,55.669494655816194
0600115,38.0650653291773
0600116,50.44400786760259
0600117,59.9002824396706
0600118,57.0319499417169
0600119,96.09042908716386
0600120,72.64139393441518
0600121,82.73523942294307
0600122,36.893859929003014
0600123,35.21566744416833
0600300,39.07531990608889
0600700,30.75871332126276
0601100,27.310383427312654
0601301,33.952761810122524
0601305,84.47261351602461
0601308,34.29558907083312
0601309,41.19366024695831
0601310,48.12233169826602
0601311,53.36086389979425
0601312,84.36445359993643
0601313,89.99830234311587
0601314,33.85409437020291
0601500,28.997826618986178
0601700,76.15832756288704
0601901,24.551007925795957
0601902,38.949779892295886
0601903,26.208257811563783
0601904,44.128978047663765
0601905,30.25126032878484
0601906,40.6422393769612
0601907,39.534379846791026
0602300,30.698224460135055
0602500,27.79419424014881
0602903,28.22780966389295
0602904,24.01415509401986
0602905,32.96242697285204
0602906,24.504551209757537
0602907,45.62560310776486
0602908,40.50718466869533
0603100,28.655347480434155
0603300,37.80270265447603
0603703,30.71897362022321
0603704,30.113997582281932
0603705,48.25067499181285
0603706,36.13916083351603
0603707,27.21927410082083
0603708,37.14453587242223
0603709,67.58540403208679
0603710,32.862712336524865
0603711,38.91945105173088
0603712,27.85888592839426
0603713,47.307649584251735
0603714,40.56098748408205
0603715,37.637590302556866
0603716,28.291725465109355
0603717,47.317680623156825
0603718,49.16388030829562
0603719,44.35881429888163
0603720,51.073692851199816
0603721,38.81516361245815
0603722,32.50989980973618
0603723,28.19228356069612
0603724,42.90814246437886
0603725,42.974592549781455
0603728,58.32368108250688
0603730,56.59833608670517
0603731,65.7204273174389
0603732,49.43317359385449
0603733,32.620697893689616
0603734,55.5657743994443
0603735,44.90516228334739
0603736,43.88737966674468
0603737,33.56305762461928
0603738,28.48879489090699
0603739,47.62236790581632
0603740,30.59565024269276
0603741,24.58078462093328
0603742,21.676125714652553
0603743,26.955172023940854
0603744,34.97858211359218
0603745,27.359460438432528
